IP,Country,Region,City
181.215.28.143,BR,São Paulo,São Paulo
208.230.175.159,US,Illinois,Oak Brook
168.123.199.1,GU,Barrigada,Barrigada
108.164.106.123,US,Nevada,Las Vegas
206.201.92.157,US,New York,New York
193.9.92.57,SE,Stockholm,Stockholm
66.55.131.87,US,New Jersey,Piscataway
137.178.72.230,US,Ohio,Cincinnati (Central Business District)
2.68.175.231,SE,Stockholm,Stockholm (Kungsholmen)
164.51.104.179,US,Florida,Tallahassee
220.96.155.108,JP,Tokyo,Chiyoda
204.208.67.114,ZA,Eastern Cape,Mount Fletcher
66.246.77.215,US,Colorado,Denver (North Capitol Hill)
18.88.211.79,GB,England,London
115.89.246.195,KR,Seoul,Yongsan-dong (Hangang-daero)
83.162.102.157,NL,North Holland,Amsterdam
207.241.47.11,US,Washington,Redmond (Downtown)
164.106.246.108,US,Virginia,Richmond
151.179.46.255,US,Texas,Dallas (Park Cities)
199.182.60.194,US,California,San Jose
70.134.140.141,US,Virginia,Ashburn
124.83.178.242,JP,Tokyo,Chiyoda
51.131.52.57,US,Illinois,Chicago
23.235.81.21,US,California,Los Angeles
1.72.130.155,JP,Tokyo,Chiyoda
106.133.158.134,JP,Tokyo,Chiyoda
181.91.96.172,AR,Buenos Aires F.D.,Buenos Aires
99.252.239.55,CA,Ontario,Toronto (Old Toronto)
178.18.6.231,RU,Samara Oblast,Samara
84.60.33.62,DE,Hesse,Frankfurt am Main
70.25.15.251,CA,Ontario,Ottawa (Downtown)
110.118.77.59,CN,Beijing,Jinrongjie (Xicheng District)
20.181.18.197,GB,England,London
219.80.126.218,TW,Taiwan,Taipei
108.209.22.53,US,Michigan,Grand Rapids
28.63.218.206,US,Ohio,Whitehall
118.156.98.155,JP,Ōsaka,Osaka
212.201.143.94,DE,Mecklenburg-Vorpommern,Heringsdorf
202.104.249.96,CN,Guangdong,Xiaolou
77.225.169.202,ES,Andalusia,Lepe
57.9.13.19,CH,Geneva,Cointrin
199.44.200.40,US,New York,New York
143.237.93.106,SE,Gävleborg,Gävle
154.23.122.58,HK,Kowloon,Hong Kong
174.250.201.223,US,Virginia,Ashburn
94.156.250.93,GB,England,London
77.127.219.254,IL,Central District,Petah Tikva
201.138.252.104,MX,Mexico City,Mexico City (Centro)
103.229.182.206,KR,Seoul,Seoul (Toegye-ro)
16.187.233.23,US,Washington,Seattle (South Lake Union)
202.148.135.58,AU,New South Wales,Sydney
72.147.134.45,US,Georgia,Atlanta (Buckhead)
63.13.181.212,US,Illinois,Chicago (Near South Side)
201.193.238.121,CR,San José,San José
160.70.151.179,DE,North Rhine-Westphalia,Ratingen
89.82.23.212,FR,Île-de-France,Nanterre
125.77.118.77,CN,Fujian,Gaosha
194.124.200.244,DE,Hesse,Frankfurt am Main
19.93.147.61,US,Michigan,Dearborn
28.107.227.144,US,Ohio,Whitehall
187.83.247.96,BR,São Paulo,São Paulo
110.158.212.3,JP,Tokyo,Chiyoda
161.19.247.189,US,Texas,Houston (Southeast Houston)
35.212.197.140,US,Oregon,The Dalles
59.254.144.198,CN,Beijing,Beijing
144.154.22.252,US,Indiana,Indianapolis (Mile Square)
50.242.4.72,US,New Jersey,Newark
86.231.172.80,FR,Île-de-France,Paris
202.127.225.60,CN,Beijing,Haidian (Haidian Qu)
195.64.20.149,AT,Vienna,Vienna (Leopoldstadt)
78.186.20.84,TR,Erzurum,Erzurum
160.131.48.110,US,Florida,Tallahassee
41.149.142.211,ZA,Gauteng,Kempton Park (Isando)
157.4.13.240,JP,Ōsaka,Osaka
200.83.202.252,CL,Santiago Metropolitan,Las Condes
11.209.236.177,US,Ohio,Whitehall
44.16.242.78,US,California,San Diego (Clairemont)
94.73.255.138,RU,Krasnoyarsk Krai,Krasnoyarsk
4.192.106.207,HK,Kowloon,Hong Kong
198.138.72.245,US,Washington,Redmond (Downtown)
219.105.157.122,JP,Tokyo,Chiyoda
181.78.196.122,EC,Guayas,Guayaquil
41.231.56.54,TN,Ben Arous Governorate,Ben Arous
55.2.22.155,US,New York,New York
168.21.91.88,US,Georgia,Athens
61.7.126.184,JP,Saga,Saga
67.123.67.194,US,New York,New York
110.249.150.71,CN,Hebei,Zhangjiakou
15.138.189.123,US,Washington,Seattle (South Lake Union)
98.231.254.241,US,Maryland,Cloverly
88.164.237.252,FR,Brittany,Rennes
98.52.231.228,US,Illinois,Homewood
171.153.172.137,US,California,Concord
32.74.214.74,US,New York,New York
18.204.236.244,US,Washington,Seattle (South Lake Union)
132.254.87.220,MX,Nuevo León,Monterrey (Tecnológico)
106.191.100.41,JP,Ōsaka,Osaka
184.198.171.193,US,Massachusetts,Springfield
163.10.238.207,AR,Buenos Aires,La Plata
199.163.63.229,US,Virginia,Reston
64.50.47.163,US,California,San Diego (Miramar)
144.177.211.223,NO,Oslo,Oslo
3.21.42.190,US,Ohio,Columbus
81.71.1.108,CN,Beijing,Haidian (Haidian Qu)
45.79.239.37,AU,New South Wales,Sydney
78.105.36.22,GB,England,London (Shadwell)
56.236.7.255,US,North Carolina,Raleigh (North Hills)
58.2.124.64,IN,Haryana,Gurgaon (Sector 18)
48.152.190.207,US,New Jersey,Newark (Central Business District)
67.174.188.17,US,Colorado,Arvada
57.15.250.184,CH,Geneva,Cointrin
119.35.113.88,CN,Guangdong,Guangzhou
33.81.210.133,US,Ohio,Whitehall
12.19.206.74,US,Texas,Mesquite (Galloway Medical Arts)
162.17.154.188,US,Michigan,Detroit
85.234.87.1,GB,England,Loughborough
145.254.52.60,DE,Hesse,Sulzbach
69.223.93.241,US,California,Fair Oaks
218.76.1.96,CN,Jiangxi,Shangli (Liuyang Shi)
109.38.176.59,NL,Drenthe,Hoogeveen
172.197.194.178,AU,Tasmania,Hobart
74.117.133.245,US,Texas,Dallas (Dallas Downtown Historic District)
82.87.195.23,ES,Castille-La Mancha,Toledo
174.121.58.68,US,Illinois,Chicago
106.153.156.124,JP,Tokyo,Chiyoda
89.52.106.147,DE,Hamburg,Hamburg (Hamburg-Nord)
135.14.132.50,US,California,San Jose (Berryessa)
157.2.95.97,JP,Tokyo,Chiyoda
144.138.109.127,AU,New South Wales,Sydney
172.51.255.221,US,Washington,Bellevue (Factoria)
40.198.165.74,US,Indiana,Indianapolis
187.165.87.16,MX,Nuevo León,San Nicolás de los Garza (Sin Nombre de Colonia 22)
72.208.246.121,US,Arizona,Phoenix
110.201.103.170,CN,Beijing,Jinrongjie (Xicheng District)
49.166.4.20,US,California,Los Angeles
220.61.152.7,JP,Tokyo,Minato-ku
151.145.13.53,US,Utah,West Jordan
223.181.188.189,IN,Madhya Pradesh,Bhopal (B Sector)
48.158.54.213,US,New Jersey,Newark (Central Business District)
118.235.106.185,KR,Gyeonggi-do,Seongnam-si (Buljeong-ro)
210.221.164.167,KR,Jeollanam-do,Mokpo-si
182.96.52.98,CN,Jiangxi,Taohua
198.210.9.55,US,Alabama,Birmingham
27.153.151.58,CN,Fujian,Putian
199.214.195.16,CA,Alberta,Edmonton (University of Alberta Farm)
173.10.30.62,US,Utah,Salt Lake City
186.152.163.216,AR,Buenos Aires F.D.,Buenos Aires
141.88.178.218,DE,North Rhine-Westphalia,Dortmund
5.252.102.148,DE,Hesse,Frankfurt am Main
138.172.116.138,US,Ohio,Whitehall
121.212.226.76,AU,New South Wales,Sydney
213.203.226.108,DE,North Rhine-Westphalia,"Cologne (Innenstadt, Cologne)"
139.86.39.1,AU,Queensland,Darling Heights
187.253.252.95,MX,Mexico City,Mexico City
176.189.251.133,FR,Île-de-France,Nanterre
68.195.31.154,US,New York,New York
12.189.5.190,US,Texas,Houston
189.12.130.215,BR,São Paulo,São Paulo
44.92.134.254,US,California,San Diego (Clairemont)
208.198.21.189,US,New York,New York
92.109.225.185,NL,North Holland,Amsterdam
102.93.97.24,NG,Lagos,Lagos (Victoria Island Annex)
46.177.76.113,GR,Attica,Chalandri
186.233.125.92,BR,São Paulo,Presidente Bernardes
130.76.35.202,US,Illinois,Chicago (West Loop)
131.82.10.6,US,Ohio,Whitehall
217.31.235.155,TR,Istanbul,Tuzla
158.151.89.134,US,Florida,Jacksonville (Deerwood)
58.226.236.3,KR,Seoul,Seoul (Toegye-ro)
144.115.3.132,US,Illinois,Chicago (West Loop)
91.1.1.144,DE,Hesse,Frankfurt am Main
32.255.77.1,US,Washington,Redmond (Downtown)
120.130.98.191,CN,Beijing,Beijing
110.214.236.188,CN,Beijing,Jinrongjie (Xicheng District)
97.149.214.90,US,Massachusetts,Boston
144.148.141.162,US,Indiana,Indianapolis (Mile Square)
47.136.13.159,US,California,Ontario
50.23.186.142,CA,Quebec,Montreal
148.129.229.165,US,Maryland,Suitland-Silver Hill (Suitland)
46.205.83.110,PL,Mazovia,Warsaw (Mokotów)
121.88.95.155,KR,Gyeonggi-do,Gwangmyeong (Digital-ro)
177.70.119.214,BR,São Paulo,São Paulo
42.31.149.95,KR,Seoul,Seoul (Eulji-ro)
82.69.58.153,GB,England,London
217.213.10.177,SE,Västra Götaland,Sävedalen
141.25.116.238,DE,Lower Saxony,Brunswick (Lehndorf-Watenbüttel)
220.223.162.116,JP,Tokyo,Chiyoda
85.169.144.116,FR,Auvergne-Rhône-Alpes,Ferney-Voltaire
134.134.143.153,US,California,Santa Clara
35.14.203.223,US,Michigan,East Lansing
165.64.144.159,US,North Carolina,Charlotte (Elizabeth)
42.53.196.161,CN,Liaoning,Shenyang
204.26.12.120,US,Michigan,Novi
20.85.125.222,US,Virginia,Boydton
101.118.119.81,AU,New South Wales,North Sydney
222.250.208.71,TW,Taiwan,Neihu District
102.162.70.25,MU,Plaines Wilhems,Beau Bassin-Rose Hill
101.242.76.236,CN,Beijing,Beijing
170.196.175.79,US,Connecticut,Stamford (Newfield - Westover - Turn of River)
65.79.121.156,US,Illinois,Peoria
86.192.252.66,FR,Hauts-de-France,Lille
218.119.97.198,JP,Tokyo,Minato-ku
216.94.10.216,US,New York,New York
80.29.206.172,ES,Madrid,Madrid
46.254.14.118,SE,Stockholm,Stockholm
212.73.108.228,RU,Moscow,Moscow
47.198.121.180,US,Florida,Port Richey
203.19.174.55,AU,Western Australia,Perth
219.82.148.205,CN,Zhejiang,Huzhou (Anji County)
202.231.93.247,JP,Tokyo,Chiyoda
134.211.11.69,AU,New South Wales,Belrose
27.207.225.184,CN,Shandong,Weifang
11.128.180.137,US,Ohio,Whitehall
34.111.227.151,US,Missouri,Kansas City
172.31.128.200,ZZ,,
110.59.98.240,CN,Beijing,Haidian (Haidian Qu)
205.38.172.214,US,Ohio,Whitehall
155.65.59.86,US,New Jersey,Bridgewater Township
3.248.187.193,IE,Leinster,Dublin
37.96.42.51,DK,Central Jutland,Aarhus
88.80.219.60,FR,Grand Est,Strasbourg
14.49.48.186,KR,Gyeonggi-do,Seongnam-si (Buljeong-ro)
84.197.7.123,BE,Flanders,Balen
79.113.171.100,RO,Vâlcea County,Râmnicu Vâlcea
128.45.10.249,IT,Lazio,Rome
73.245.118.182,US,Florida,Delray Beach
170.111.239.217,US,Texas,San Antonio (Northwest Side)
50.105.88.245,US,Michigan,Muskegon (Jackson Hills)
32.81.42.74,US,New York,New York
111.12.146.243,CN,Guangdong,Shenzhen
119.77.237.91,TW,Taiwan,Neihu District
172.54.112.232,US,Illinois,Chicago
102.181.88.217,SD,Khartoum,Khartoum
79.145.190.111,ES,Madrid,Madrid
158.29.87.164,US,Texas,Spring
38.44.63.61,DO,Santo Domingo Province,Santo Domingo Este
70.189.94.142,US,Oklahoma,Tulsa
38.24.11.54,US,Ohio,Cleveland
185.14.7.187,RU,Moscow,Moscow
187.4.39.112,BR,São Paulo,Birigui
109.235.8.205,UA,Dnipropetrovsk,Dnipro
28.175.180.196,US,Ohio,Whitehall
120.39.127.172,CN,Fujian,Amoy
156.57.233.222,CA,Newfoundland and Labrador,Corner Brook
58.144.45.187,CN,Chongqing,Chongqing
86.233.206.93,FR,Nouvelle-Aquitaine,Poitiers
140.186.65.52,US,North Dakota,Fargo
84.17.22.202,RU,St.-Petersburg,St Petersburg
40.70.51.231,US,Virginia,Boydton
150.157.149.210,US,Ohio,Whitehall
218.240.11.98,CN,Fujian,Amoy (Huli Qu)
113.232.229.78,CN,Liaoning,Shenyang
220.69.134.248,KR,Daegu,Sindang-dong
62.100.138.125,FR,Île-de-France,Montreuil
200.200.148.50,BR,São Paulo,São Paulo
93.113.250.86,RS,Central Serbia,Belgrade (New Belgrade)
89.40.218.93,RO,Bucureşti,Bucharest (Sector 6)
198.103.250.8,CA,Ontario,Ottawa (Downtown)
220.143.235.252,TW,Taiwan,Neihu District
172.240.26.154,US,Texas,Dallas
61.246.93.193,IN,Tamil Nadu,Chennai
124.19.101.242,AU,New South Wales,Macquarie Park
31.208.168.131,SE,Stockholm,Stockholm
32.228.210.225,US,New York,New York
38.241.131.194,US,Ohio,Cleveland
91.99.179.99,IR,Khuzestan,Khorramshahr
188.70.143.72,KW,Al Asimah,Kuwait City (Jibla)
107.114.224.105,US,District of Columbia,Washington D.C.
117.26.170.78,CN,Fujian,Ningde
9.122.57.178,CA,Quebec,Montreal
52.190.172.166,US,California,San Jose
118.151.110.98,JP,Tokyo,Chiyoda
37.225.99.22,PL,Mazovia,Warsaw
12.147.236.41,US,California,San Diego (Mission Bay Park)
2.129.46.164,DK,North Denmark,Aalborg
210.126.62.196,KR,Gangwon-do,Pyeongchang-gun (Pyeongchang-eup)
46.193.48.172,FR,Île-de-France,Paris
148.163.81.7,US,Arizona,Phoenix (Southbank)
143.66.54.113,US,New York,Corning
148.62.70.65,US,Texas,Dallas
7.101.105.217,US,Ohio,Whitehall
172.100.153.192,US,New York,Jamestown
129.39.79.131,US,North Carolina,Durham (Research Triangle)
17.41.219.149,US,California,Cupertino
84.225.206.245,HU,Budapest,Budapest
89.68.236.232,PL,Mazovia,Warsaw
158.106.223.24,US,New York,New York
201.207.185.198,CR,Cartago,Cartago
195.31.6.185,IT,Tuscany,Florence
130.65.207.124,US,California,San Jose (Central San Jose)
18.35.139.114,US,Virginia,Herndon
151.31.5.153,IT,Lazio,Colle Monfortani
48.221.106.59,GB,England,London
140.160.125.60,US,Washington,Bellingham
161.66.93.174,NZ,Auckland,Auckland
152.199.84.144,US,California,Los Angeles (Playa Vista)
81.146.141.167,GB,England,Hemel Hempstead
16.79.163.65,US,California,Palo Alto
65.52.230.220,IE,Leinster,Dublin
5.117.113.213,IR,Tehran,Tehrān (District 4)
136.248.29.242,US,California,Redwood City (Redwood Shores)
202.69.214.228,AU,New South Wales,Pyrmont
141.157.106.17,US,New York,New York
19.0.175.88,US,Michigan,Dearborn
8.228.12.160,US,Louisiana,Monroe
112.113.235.18,CN,Yunnan,Jianshui
23.214.44.82,AU,New South Wales,Sydney
149.147.140.11,KW,Al Asimah,Kuwait City (Jibla)
126.242.156.176,US,District of Columbia,Washington D.C.
80.8.160.203,RE,Réunion,Saint-Denis
155.143.121.15,AU,New South Wales,Sydney
12.119.226.186,US,New Jersey,Morristown
65.29.111.24,US,Ohio,Lima
78.177.132.94,TR,Afyonkarahisar Province,Afyonkarahisar
23.23.189.36,CA,Quebec,Montreal
99.26.238.153,US,Connecticut,Wallingford
36.204.209.51,CN,Beijing,Jinrongjie (Xicheng District)
132.96.251.0,US,Arizona,Sierra Vista (Fort Huachuca)
154.14.196.48,DE,Bavaria,Nuremberg
155.72.172.234,US,Maryland,Bethesda
91.148.45.75,SK,Žilina Region,Vrútky
173.209.22.13,US,Missouri,Springfield (Walnut Street)
109.87.102.229,UA,Kyiv City,Kyiv
191.92.181.26,CO,Bogota D.C.,Bogotá (Engativa)
56.38.119.226,US,North Carolina,Raleigh (North Hills)
140.83.118.105,AU,New South Wales,Sydney
167.5.190.71,US,New York,Hicksville
73.53.1.4,US,Washington,Seattle
163.16.178.221,TW,Kaohsiung,Kaohsiung City
166.165.176.193,US,Illinois,Hickory Hills
161.44.221.222,US,North Carolina,Morrisville
203.42.131.218,AU,New South Wales,Sydney
219.142.10.110,CN,Beijing,Beijing
25.149.203.190,GB,England,London
43.113.238.154,CN,Beijing,Beijing
95.12.38.127,TR,Istanbul,Istanbul
190.111.57.203,AR,Buenos Aires F.D.,Balvanera
135.36.181.109,US,California,San Jose (North San Jose)
153.231.123.44,JP,Tokyo,Chiyoda
102.101.12.238,MA,Casablanca-Settat,Méchouar de Casablanca
154.213.248.71,HK,Kowloon,Hong Kong
13.89.241.97,US,Iowa,Des Moines
194.62.34.218,GB,England,Swindon
175.45.74.102,AU,New South Wales,North Sydney
65.220.247.255,US,Illinois,Chicago (Near South Side)
209.47.231.15,US,Massachusetts,Boston
76.132.213.174,US,California,San Jose (Great Oaks)
186.148.113.126,AR,Santa Fe,Funes
154.91.207.102,ZA,Gauteng,Johannesburg
196.113.197.250,MA,Fès-Meknès,Fes
206.172.11.170,CA,Ontario,Toronto (Etobicoke)
154.223.128.15,HK,Kowloon,Hong Kong
51.94.210.232,ES,Madrid,Madrid
187.159.99.228,MX,Mexico City,Mexico City (Miguel Hidalgo Villa Olímpica)
136.162.26.143,US,Washington,Seattle (Downtown Seattle)
101.124.92.133,US,California,San Jose
23.8.104.152,US,Texas,Dallas
49.218.226.240,TW,Taiwan,Taipei
42.242.202.225,CN,Yunnan,Jianshui
52.150.101.192,US,Virginia,Washington
65.141.252.39,US,North Dakota,Bismarck
52.72.58.196,US,New York,New York
77.160.7.220,NL,South Holland,Alphen aan den Rijn
173.71.122.200,US,New Jersey,Camden
223.172.244.122,KR,Seoul,Paripark (World cup buk-ro)
128.214.250.217,FI,Uusimaa,Espoo
174.189.156.252,US,Colorado,Denver (Five Points)
1.32.155.253,SG,,Singapore (Orchard)
158.165.207.168,US,Oregon,Eugene (Whiteaker)
178.145.218.214,BE,Wallonia,Reuland
98.242.126.75,US,Georgia,Stone Mountain
56.196.254.122,US,North Carolina,Raleigh (North Hills)
205.135.68.7,US,Massachusetts,Boston (Prudential / St. Botolph)
48.91.169.101,US,New Jersey,Newark (Central Business District)
165.8.205.201,ZA,Gauteng,Pretoria
27.240.251.253,TW,Taiwan,Taipei
203.76.64.61,JP,Okayama,Kurashiki (Nakashima)
21.90.45.62,US,Ohio,Whitehall
83.230.60.166,PL,Silesia,Gliwice
193.217.57.101,SE,Stockholm,Stockholm (Kista)
210.81.89.114,JP,Tokyo,Shibuya
102.108.65.178,TN,Tunis Governorate,Tunis (Berges du Lac)
139.161.165.154,US,Arizona,Sierra Vista (Fort Huachuca)
139.47.1.148,ES,Andalusia,Moguer
206.204.154.247,ES,Madrid,Alcobendas
61.147.64.154,CN,Jiangsu,Nanjing
30.91.214.216,US,Ohio,Whitehall
75.90.130.75,US,Texas,Fairfield
42.51.192.60,CN,Henan,Zhengzhou
41.175.37.117,MU,Plaines Wilhems,Ebene CyberCity
177.52.209.111,BR,Santa Catarina,Concórdia
54.208.82.147,US,Washington,Seattle (South Lake Union)
87.232.240.98,IE,Leinster,Ballyogan (Sandyford)
91.169.93.22,FR,Île-de-France,Paris
148.53.19.153,GB,England,London
193.161.48.149,NO,Akershus,Sandvika
10.83.251.121,ZZ,,
152.203.151.117,CO,Bogota D.C.,Bogotá (Suba)
186.160.80.84,PE,Lima region,Lurín
94.43.203.167,GE,T'bilisi,T'bilisi (Dzveli Tbilisi)
213.144.2.91,DE,Baden-Württemberg,Karlsruhe (Durlach)
29.183.139.25,US,Ohio,Whitehall
134.81.185.130,DE,Hesse,Frankfurt am Main (Frankfurt am Main West)
16.151.162.62,US,California,Palo Alto
123.119.206.250,CN,Beijing,Jinrongjie (Xicheng District)
49.226.147.126,NZ,Auckland,Auckland (Takapuna)
89.254.68.89,NO,Oslo,Oslo
75.197.59.129,US,New Jersey,Newark
213.108.214.95,RU,St.-Petersburg,St Petersburg
125.95.186.124,CN,Guangdong,Xiaolou
160.130.243.224,US,Florida,Tallahassee
103.231.43.195,IN,Telangana,Hyderabad (Sri Nagar Colony)
184.7.14.166,US,Indiana,Cleveland
12.165.136.162,US,California,Pomona
49.228.104.49,TH,Bangkok,Ratchathewi (Khwaeng Samsen Nai)
80.110.152.91,AT,Vienna,Vienna (Favoriten)
201.249.216.176,VE,Miranda,Caracas (Los Palos Grandes)
59.10.234.161,KR,Seoul,Bukgajwa-dong
35.161.233.156,US,Oregon,Portland
208.15.252.115,US,Texas,Plano
33.213.110.243,US,Ohio,Whitehall
76.241.104.209,US,Washington,Seattle (South Lake Union)
157.208.46.81,CA,Quebec,Magdalen Islands
183.23.115.203,CN,Guangdong,Xiaolou
153.138.139.17,JP,Ōsaka,Osaka
101.207.183.97,CN,Sichuan,Chengdu
163.147.66.143,JP,Tokyo,Chiyoda
55.20.23.213,US,Arizona,Sierra Vista (Fort Huachuca)
139.37.55.135,US,Ohio,Columbus
137.245.0.40,US,Alabama,Montgomery
84.93.36.12,GB,England,London (Colindale)
198.242.217.36,US,Ohio,Cleveland
143.67.31.235,US,New York,Jamestown
121.118.245.149,JP,Ōsaka,Osaka
118.14.175.25,JP,Ōsaka,Osaka
182.11.216.165,ID,Jakarta,Jakarta
217.151.240.6,DE,Bavaria,Neureichenau
199.198.94.161,CA,Ontario,Mississauga
164.131.79.144,FR,Île-de-France,Paris
189.176.246.105,MX,Mexico City,Mexico City (Centro)
152.73.88.50,DK,Capital Region,Søborg
14.0.30.0,VN,Hanoi,Hanoi
6.247.196.223,US,Arizona,Sierra Vista (Fort Huachuca)
147.255.10.184,US,California,Los Angeles (Central LA)
7.238.163.23,US,Ohio,Whitehall
77.224.11.171,ES,Madrid,Madrid
69.192.138.69,US,Illinois,Mount Prospect
37.89.241.56,DE,Hesse,Frankfurt am Main
67.117.80.225,US,New York,New York
195.52.94.4,DE,North Rhine-Westphalia,Düsseldorf (Stadtbezirke 04)
195.161.153.227,RU,Moscow,Moscow
119.193.119.49,KR,Gyeonggi-do,Dongducheon-si (Jihaeng-dong)
52.156.24.140,CA,Ontario,Toronto
185.181.217.139,SE,Stockholm,Stockholm
3.0.9.21,SG,,Singapore (Bedok New Town)
20.180.213.77,GB,England,London
176.250.178.38,GB,England,London (Shadwell)
83.160.35.64,NL,North Holland,Amsterdam
48.127.124.189,US,New Jersey,Newark (Central Business District)
189.133.253.54,MX,Mexico City,Mexico City (Centro)
23.150.117.143,US,Virginia,Centreville
40.159.243.227,US,Washington,Redmond (Overlake)
54.206.234.78,AU,New South Wales,Sydney
38.241.203.232,US,Ohio,Cleveland
150.243.37.35,US,Missouri,Kirksville
70.52.6.67,CA,Quebec,Québec (Sainte-Foy)
111.43.182.179,CN,Heilongjiang,Harbin
44.52.91.180,US,California,San Diego (Clairemont)
51.255.18.190,FR,Hauts-de-France,Roubaix
223.80.173.89,CN,Shandong,Jinan
51.192.237.1,US,Illinois,Chicago
94.243.53.80,RU,Irkutsk Oblast,Irkutsk
129.122.161.84,AO,Luanda,Talatona
217.127.152.184,ES,Madrid,Madrid
210.131.181.212,JP,Aichi,Nagoya
103.175.218.195,ID,Jakarta,Jakarta Pusat
88.24.185.179,ES,Canary Islands,San Cristóbal de La Laguna
111.155.171.21,CN,Beijing,Haidian (Haidian Qu)
48.68.202.55,US,New Jersey,Newark (Central Business District)
213.228.166.32,PT,District of Setúbal,Palmela
106.229.97.88,CN,Jiangxi,Taohua
73.83.157.158,US,Washington,Seattle
18.113.66.96,GB,England,London
64.170.83.187,US,California,Los Angeles
159.122.191.248,IT,Lombardy,Milan
76.170.193.88,US,California,La Mirada
129.128.183.87,CA,Alberta,Edmonton (South Central Edmonton)
209.118.117.205,US,New York,New York
171.55.4.196,IN,Delhi,New Delhi (Okhla Phase III)
75.255.154.41,US,Massachusetts,Boston
149.206.97.61,DE,North Rhine-Westphalia,Essen (Stadtbezirke IV)
13.174.102.124,US,Texas,Dallas
114.25.137.167,TW,Taiwan,Neihu District
77.7.238.42,DE,Bavaria,Munich
220.2.13.45,JP,Tokyo,Minato-ku
156.182.169.15,EG,Cairo,Cairo
101.156.66.185,CN,Beijing,Beijing
29.248.239.169,US,Ohio,Whitehall
210.239.116.137,JP,Tochigi,Oyama
199.1.205.217,US,Colorado,Denver (East)
104.229.160.191,US,New York,Philadelphia
101.93.203.76,CN,Shanghai,Shanghai
138.60.203.241,US,Ohio,Columbus
92.244.204.204,SE,Jönköping,Värnamo
93.250.198.190,DE,Bremen,Bremen (Häfen)
181.22.46.113,AR,Buenos Aires F.D.,San Telmo
70.39.123.159,US,New York,New York
71.33.67.24,US,Arizona,Tucson
23.216.80.196,US,Washington,Seattle
146.1.140.23,US,California,San Jose (Downtown San Jose)
33.46.54.243,US,Ohio,Whitehall
101.193.167.96,CN,Beijing,Beijing
77.139.133.190,IL,Central District,Petah Tikva
93.236.200.201,DE,Hesse,Frankfurt am Main
65.118.238.169,US,New York,New York
74.125.107.225,BR,São Paulo,São Paulo
121.137.129.188,KR,Gyeonggi-do,Hwaseong-si (Jangan-myeon)
201.231.47.242,AR,Buenos Aires F.D.,Palermo
110.83.226.176,CN,Fujian,Sanming
177.33.111.254,BR,São Paulo,São Paulo
123.168.244.130,CN,Shandong,Xintai
107.191.249.9,US,Delaware,Dover
152.237.17.16,BR,São Paulo,São Paulo
210.110.161.107,KR,Busan,Daeyeon-dong
206.239.143.20,US,Washington,Redmond (Downtown)
113.181.128.67,VN,Bắc Giang Province,Bắc Giang
202.228.109.141,JP,Tokyo,Chiyoda
45.243.27.243,EG,Giza,Giza
139.38.179.59,ZA,Eastern Cape,Mount Fletcher
163.151.149.214,US,New York,White Plains
210.98.125.163,KR,Gyeonggi-do,Hanam (Sangil-ro)
59.124.35.238,TW,Taiwan,Neihu District
